index,name,price,price_per_kg,category
0,Poulet fermier blanc Label Rouge FERMIERS DE LOUE,"9,75",6.5,chicken
1,Filets de chicken CARREFOUR,"9,25",10.89,chicken
2,Poulet jaune d'Auvergne Label Rouge FILIERE QUALITE CARREFOUR,"9,66",6.9,chicken
3,Filets de chicken blanc CARREFOUR CLASSIC',"7,67",15.35,chicken
4,Poulet blanc d'Auvergne Label Rouge FILIERE QUALITE CARREFOUR,"9,66",6.9,chicken
5,Pintade fermière Albret Label Rouge CARREFOUR EXTRA,"16,45",11.75,chicken
6,Filets de chicken blanc CARREFOUR CLASSIC',"13,29",15.64,chicken
7,Unknown,"4,66",3.59,chicken
8,FRANCE,"9,99",9.99,chicken
9,FRANCE,"5,60",5.6,chicken
10,ORIGINE C.E.E.,"6,20",12.4,chicken
11,BELGIQUE,"11,50",11.5,chicken
12,UNION EUROPEENNE,"6,35",12.7,chicken
13,Poulet jaune Label Rouge LA NOUVELLE AGRICULTURE,"17,00",12.15,chicken
14,Cuisses de chicken blanc LA NOUVELLE AGRICULTURE,"3,44",7.65,chicken
15,Poulet blanc Label Rouge LA NOUVELLE AGRICULTURE,"17,00",12.15,chicken
16,Filets de chicken extra tendres DOUCE FRANCE,"10,15",14.1,chicken
17,Cuisse de chicken blanc CARREFOUR,"12,65",4.22,chicken
18,Filet de chicken jaune fermier LR Reflets de France,"7,58",25.29,chicken
19,Unknown,"19,99",10.0,chicken
20,Unknown,"19,99",10.0,chicken
21,Pilons de chicken jaune fermier CARREFOUR BIO,"6,14",12.29,chicken
22,Unknown,"4,69",4.69,chicken
23,Poulet jaune bio REGHALAL,"16,74",11.55,chicken
24,Pilon de Poulet jaune VOLAILLE FRANCAISE,"5,90",5.9,chicken
25,Unknown,"8,85",17.7,chicken
26,Poulet REGHALAL,"8,32",5.55,chicken
27,Filet de chicken en aiguillette CARREFOUR CLASSIC',"5,49",18.3,chicken
0,Poulet fermier blanc Label Rouge FERMIERS DE LOUE,"9,75",6.5,chicken
1,Filets de chicken CARREFOUR,"9,25",10.89,chicken
2,Poulet jaune d'Auvergne Label Rouge FILIERE QUALITE CARREFOUR,"9,66",6.9,chicken
3,Filets de chicken blanc CARREFOUR CLASSIC',"7,67",15.35,chicken
4,Poulet blanc d'Auvergne Label Rouge FILIERE QUALITE CARREFOUR,"9,66",6.9,chicken
5,Pintade fermière Albret Label Rouge CARREFOUR EXTRA,"16,45",11.75,chicken
6,Filets de chicken blanc CARREFOUR CLASSIC',"13,29",15.64,chicken
